,I01,I02,I04
733,0.3,0.25,0.24
734,0.3,0.245,0.255
735,0.3,0.255,0.245
736,0.3,0.245,0.23
737,0.305,0.255,0.24
738,0.3,0.24,0.25
739,0.3,0.235,0.24
740,0.3,0.24,0.235
741,0.305,0.23,0.25
742,0.3,0.245,0.26
743,0.3,0.23,0.255
744,0.3,0.24,0.235
745,0.305,0.245,0.25
746,0.305,0.24,0.24
747,0.305,0.255,0.26
748,0.3,0.245,0.255
749,0.3,0.24,0.25
750,0.305,0.235,0.27
751,0.32,0.245,0.24
752,0.3,0.235,0.245
753,0.305,0.23,0.25
754,0.305,0.23,0.24
755,0.3,0.245,0.245
756,0.3,0.23,0.24
757,0.3,0.235,0.27
758,0.3,0.24,0.245
759,0.3,0.235,0.25
760,0.3,0.235,0.245
761,0.305,0.235,0.235
762,0.3,0.26,0.24
763,0.3,0.24,0.26
764,0.3,0.25,0.245
765,0.305,0.265,0.25
766,0.3,0.235,0.24
767,0.3,0.235,0.25
768,0.3,0.245,0.255
769,0.3,0.24,0.245
770,0.305,0.225,0.255
771,0.3,0.235,0.235
772,0.3,0.24,0.245
773,0.3,0.24,0.245
774,0.3,0.24,0.255
775,0.3,0.235,0.235
776,0.3,0.25,0.26
777,0.3,0.25,0.25
778,0.3,0.235,0.245
779,0.305,0.24,0.25
780,0.3,0.255,0.255
781,0.3,0.24,0.245
782,0.3,0.24,0.25
783,0.3,0.235,0.245
784,0.305,0.235,0.24
785,0.305,0.24,0.24
786,0.305,0.245,0.265
787,0.305,0.235,0.245
788,0.3,0.235,0.235
789,0.3,0.24,0.26
790,0.305,0.245,0.265
791,0.3,0.24,0.235
792,0.3,0.235,0.245
793,0.3,0.245,0.245
794,0.31,0.23,0.24
795,0.3,0.225,0.24
796,0.3,0.24,0.24
797,0.3,0.245,0.245
798,0.3,0.245,0.245
799,0.3,0.23,0.225
800,0.3,0.25,0.235
801,0.305,0.235,0.23
802,0.3,0.24,0.24
803,0.3,0.24,0.245
804,0.3,0.24,0.24
805,0.3,0.23,0.24
806,0.3,0.235,0.225
807,0.3,0.235,0.26
808,0.305,0.23,0.255
809,0.3,0.235,0.235
810,0.3,0.23,0.25
811,0.3,0.245,0.245
812,0.3,0.24,0.24
813,0.3,0.24,0.245
814,0.3,0.235,0.24
815,0.3,0.24,0.25
816,0.3,0.235,0.245
817,0.3,0.235,0.24
818,0.3,0.245,0.26
819,0.3,0.245,0.265
